iter	RMSE
0	3125.440779
1	2468.379868
2	2192.819468
3	2067.859455
4	1999.752596
5	1956.810653
6	1932.152349
7	1915.758
8	1903.556647
9	1888.407897
10	1877.371454
11	1869.97131
12	1863.418841
13	1851.487134
14	1837.242166
15	1828.834589
16	1824.73914
17	1815.965508
18	1805.678739
19	1796.098664
20	1789.69833
21	1784.782187
22	1779.508738
23	1771.743975
24	1766.290225
25	1762.572511
26	1756.370802
27	1751.493151
28	1751.473336
29	1745.726118
30	1737.640189
31	1733.915779
32	1730.671753
33	1726.615998
34	1725.418763
35	1724.804581
36	1720.856974
37	1716.489188
38	1712.254676
39	1710.539448
40	1709.569106
41	1707.343953
42	1701.872426
43	1699.863444
44	1696.530157
45	1695.247093
46	1692.074091
47	1687.283551
48	1682.171545
49	1678.587115
50	1676.500817
51	1673.710998
52	1673.363683
53	1670.288765
54	1666.687552
55	1666.601004
56	1666.536944
57	1663.887698
58	1663.027623
59	1661.050583
60	1660.982321
61	1657.674372
62	1655.363329
63	1653.398497
64	1650.23058
65	1648.292584
66	1645.715822
67	1644.40656
68	1642.067666
69	1641.154603
70	1638.431847
71	1638.258674
72	1637.572523
73	1635.362679
74	1634.071537
75	1632.002212
76	1629.573761
77	1627.302549
78	1625.640478
79	1624.367554
80	1621.881375
81	1621.207583
82	1618.065438
83	1615.704068
84	1613.184962
85	1610.835597
86	1609.991543
87	1607.708408
88	1606.615239
89	1605.959613
90	1603.932412
91	1601.850728
92	1601.028757
93	1600.266248
94	1598.96612
95	1597.508017
96	1595.518631
97	1594.262007
98	1593.806269
99	1592.597129
100	1591.344352
101	1590.835892
102	1590.24801
103	1588.978602
104	1585.522816
105	1584.298616
106	1583.675815
107	1583.350555
108	1582.47417
109	1580.709063
110	1580.249467
111	1579.306066
112	1579.135866
113	1578.77575
114	1578.231502
115	1576.447428
116	1575.143254
117	1573.402321
118	1572.083538
119	1571.558677
120	1569.337229
121	1569.115056
122	1566.29933
123	1564.914524
124	1564.096623
125	1562.164329
126	1561.436945
127	1560.983646
128	1558.813496
129	1557.733805
130	1556.611052
131	1555.068572
132	1552.931383
133	1552.233487
134	1550.530949
135	1549.561674
136	1548.574803
137	1548.532359
138	1547.37675
139	1546.863873
140	1546.750813
141	1545.044527
142	1544.909306
143	1544.73151
144	1543.885006
145	1543.577663
146	1543.206443
147	1542.615724
148	1541.238995
149	1540.636608
150	1538.158881
151	1536.778252
152	1536.086648
153	1534.932829
154	1532.559253
155	1532.199763
156	1530.626693
157	1529.211768
158	1528.406428
159	1526.472004
160	1525.775323
161	1524.63496
162	1524.243893
163	1522.499396
164	1520.803137
165	1520.073989
166	1519.162185
167	1519.154972
168	1518.230901
169	1517.596576
170	1516.086611
171	1515.477395
172	1514.307277
173	1513.401082
174	1512.496508
175	1511.785576
176	1511.375979
177	1510.404664
178	1509.059583
179	1507.38493
180	1506.721135
181	1506.460115
182	1506.328289
183	1505.692314
184	1505.011693
185	1504.342729
186	1503.391521
187	1501.052065
188	1500.352483
189	1500.334141
190	1500.224964
191	1499.117947
192	1497.974373
193	1497.200115
194	1496.219363
195	1495.819769
196	1494.8825
197	1494.752231
198	1494.234982
199	1493.150653
200	1493.089984
201	1492.1228
202	1491.516426
203	1490.029295
204	1489.40501
205	1488.96659
206	1488.338665
207	1487.791412
208	1487.231428
209	1486.356889
210	1485.271845
211	1484.722816
212	1483.305427
213	1482.764015
214	1482.467077
215	1481.718359
216	1481.049116
217	1480.246421
218	1480.001824
219	1479.713676
220	1479.355988
221	1478.601189
222	1477.225245
223	1476.439881
224	1476.226624
225	1475.742167
226	1475.594403
227	1475.178036
228	1474.27687
229	1473.689
230	1473.427719
231	1473.012897
232	1472.324081
233	1471.581328
234	1471.282724
235	1470.396786
236	1470.368052
237	1469.929601
238	1469.598448
239	1469.202267
240	1468.305469
241	1467.534379
242	1467.08326
243	1466.610331
244	1466.372656
245	1465.762985
246	1464.940308
247	1463.981013
248	1462.882407
249	1462.300169
250	1461.62271
251	1461.145744
252	1460.653748
253	1460.31102
254	1459.293216
255	1458.887706
256	1458.204381
257	1457.716516
258	1456.706928
259	1456.278264
260	1456.1289
261	1455.842538
262	1455.732514
263	1455.184792
264	1454.672152
265	1454.506779
266	1454.09024
267	1454.05235
268	1453.937231
269	1453.509667
270	1453.309655
271	1452.723014
272	1452.647428
273	1451.523485
274	1450.872527
275	1449.790371
276	1449.091033
277	1448.765783
278	1448.169581
279	1448.118474
280	1447.499475
281	1446.553852
282	1446.209784
283	1445.92364
284	1445.602365
285	1445.129
286	1444.307559
287	1444.274248
288	1443.18247
289	1442.773371
290	1442.451732
291	1442.297198
292	1441.789995
293	1441.77637
294	1441.027422
295	1440.679628
296	1439.579527
297	1439.352235
298	1439.1299
299	1439.096836
300	1438.011401
301	1437.674115
302	1437.501745
303	1436.918185
304	1435.924152
305	1435.56455
306	1434.9681
307	1434.896059
308	1433.95096
309	1433.89339
310	1433.478235
311	1433.047677
312	1432.99173
313	1431.822102
314	1430.900616
315	1430.462619
316	1429.81084
317	1428.88651
318	1428.585836
319	1428.308993
320	1427.684752
321	1427.27082
322	1426.797406
323	1426.36515
324	1425.54381
325	1425.204471
326	1424.282524
327	1423.854574
328	1423.446893
329	1422.747385
330	1422.278288
331	1421.58402
332	1421.094206
333	1420.654193
334	1420.050821
335	1419.325876
336	1418.827404
337	1418.120774
338	1417.749175
339	1417.171625
340	1416.756654
341	1416.706281
342	1415.011527
343	1414.633432
344	1414.488381
345	1414.487293
346	1414.394927
347	1414.146973
348	1414.087255
349	1413.619305
350	1412.798896
351	1412.105758
352	1412.105119
353	1411.572464
354	1410.549179
355	1409.984605
356	1409.679092
357	1409.032965
358	1408.342805
359	1407.379469
360	1406.832108
361	1406.381237
362	1406.31083
363	1405.494291
364	1405.346648
365	1404.943394
366	1404.887887
367	1403.873168
368	1403.77996
369	1402.892816
370	1402.771761
371	1402.533402
372	1401.912461
373	1401.567245
374	1400.870423
375	1399.84295
376	1399.320753
377	1398.478761
378	1398.103135
379	1397.699623
380	1397.365058
381	1396.606248
382	1396.0756
383	1395.370974
384	1395.028944
385	1394.921177
386	1394.61923
387	1394.56581
388	1393.682049
389	1393.576639
390	1393.082399
391	1392.445115
392	1392.154724
393	1391.535601
394	1390.688076
395	1390.393316
396	1389.765802
397	1389.624659
398	1389.336511
399	1388.952124
400	1388.140392
401	1387.90426
402	1387.550538
403	1387.385398
404	1387.25785
405	1387.076059
406	1386.437796
407	1386.097126
408	1385.993726
409	1385.924367
410	1385.551721
411	1385.329303
412	1384.957452
413	1384.806125
414	1383.429898
415	1383.273643
416	1382.705867
417	1382.067962
418	1381.764455
