iter	Passed	Remaining
0	353	353387
1	639	318967
2	938	311993
3	1277	318192
4	1523	303204
5	1779	294789
6	2079	295056
7	2391	296597
8	2672	294245
9	2985	295556
10	3325	298958
11	3668	302021
12	3951	299976
13	4262	300194
14	4565	299803
15	4914	302238
16	5231	302512
17	5575	304199
18	5911	305196
19	6294	308408
20	6603	307864
21	6962	309526
22	7344	311991
23	7758	315531
24	8116	316558
25	8449	316533
26	8748	315276
27	8999	312405
28	9215	308554
29	9545	308632
30	9834	307398
31	10118	306094
32	10439	305920
33	10795	306715
34	11193	308611
35	11508	308180
36	11831	307941
37	12122	306886
38	12442	306601
39	12825	307803
40	13105	306534
41	13453	306870
42	13811	307380
43	14146	307368
44	14479	307279
45	14850	307992
46	15180	307815
47	15493	307289
48	15807	306787
49	16115	306199
50	16525	307510
51	16796	306218
52	17120	305911
53	17443	305585
54	17807	305970
55	18142	305828
56	18383	304131
57	18754	304604
58	19095	304561
59	19440	304563
60	19766	304277
61	20163	305050
62	20490	304748
63	20854	304998
64	21170	304529
65	21554	305034
66	21860	304411
67	22267	305192
68	22603	304978
69	23023	305889
70	23408	306292
71	23735	305929
72	24056	305482
73	24375	305016
74	24698	304612
75	25019	304186
76	25367	304075
77	25714	303962
78	26053	303737
79	26384	303423
80	26814	304225
81	27174	304217
82	27519	304041
83	27892	304160
84	28260	304211
85	28589	303846
86	28943	303743
87	29313	303795
88	29669	303693
89	30000	303339
90	30321	302885
91	30618	302188
92	30974	302086
93	31324	301915
94	31641	301423
95	31987	301219
96	32287	300569
97	32590	299965
98	33025	300569
99	33344	300099
100	33661	299616
101	34075	299998
102	34487	300344
103	34860	300333
104	35162	299718
105	35511	299505
106	35888	299517
107	36289	299724
108	36679	299829
109	37032	299624
110	37419	299696
111	37799	299693
112	38097	299050
113	38425	298641
114	38884	299242
115	39224	298921
116	39584	298740
117	39947	298592
118	40296	298329
119	40674	298280
120	41041	298143
121	41411	298026
122	41760	297754
123	42147	297748
124	42494	297464
125	42814	296983
126	43200	296961
127	43605	297061
128	43969	296877
129	44330	296672
130	44705	296557
131	45014	296005
132	45345	295596
133	45705	295379
134	45987	294659
135	46318	294258
136	46678	294037
137	46985	293489
138	47356	293336
139	47741	293267
140	48100	293039
141	48445	292722
142	48798	292447
143	49168	292278
144	49599	292468
145	49943	292138
146	50346	292143
147	50700	291871
148	51008	291331
149	51417	291368
150	51724	290819
151	52074	290522
152	52459	290414
153	52813	290130
154	53190	289976
155	53525	289588
156	53867	289235
157	54259	289152
158	54601	288806
159	54998	288744
160	55411	288760
161	55786	288576
162	56136	288258
163	56440	287709
164	56771	287296
165	57172	287238
166	57529	286959
167	57861	286550
168	58239	286375
169	58619	286200
170	58952	285799
171	59275	285347
172	59642	285113
173	60007	284863
174	60345	284484
175	60745	284399
176	61150	284330
177	61541	284199
178	61889	283861
179	62230	283494
180	62582	283177
181	62910	282752
182	63285	282537
183	63615	282122
184	63945	281707
185	64306	281427
186	64688	281240
187	65033	280891
188	65336	280358
189	65648	279868
190	66035	279700
191	66379	279348
192	66718	278973
193	67086	278720
194	67410	278285
195	67781	278043
196	68120	277670
197	68519	277540
198	68823	277024
199	69183	276733
200	69551	276476
201	69921	276225
202	70269	275887
203	70625	275579
204	70939	275104
205	71401	275208
206	71740	274833
207	72125	274631
208	72525	274485
209	72927	274346
210	73305	274112
211	73737	274079
212	74132	273907
213	74552	273825
214	74923	273556
215	75285	273259
216	75599	272785
217	75939	272406
218	76329	272205
219	76671	271836
220	77042	271567
221	77418	271312
222	77738	270862
223	78135	270682
224	78462	270258
225	78822	269948
226	79244	269850
227	79623	269602
228	79956	269197
229	80336	268952
230	80760	268851
231	81139	268601
232	81501	268290
233	81867	267993
234	82279	267845
235	82627	267488
236	82907	266914
237	83319	266763
238	83716	266562
239	84106	266336
240	84484	266072
241	84851	265775
242	85245	265559
243	85649	265374
244	86106	265347
245	86477	265055
246	86903	264933
247	87318	264773
248	87735	264616
249	88113	264340
250	88498	264084
251	88895	263863
252	89255	263533
253	89582	263104
254	90010	262971
255	90382	262675
256	90737	262326
257	91089	261969
258	91449	261637
259	91832	261368
260	92261	261229
261	92595	260823
262	92862	260228
263	93250	259971
264	93663	259784
265	94062	259556
266	94458	259318
267	94806	258949
268	95143	258548
269	95571	258398
270	95995	258231
271	96396	258002
272	96821	257835
273	97166	257456
274	97520	257100
275	97808	256569
276	98196	256303
277	98592	256057
278	98971	255765
279	99307	255361
280	99680	255053
281	100042	254717
282	100348	254239
283	100709	253902
284	101060	253537
285	101468	253316
286	101820	252955
287	102183	252619
288	102566	252333
289	102966	252089
290	103444	252034
291	103840	251776
292	104261	251579
293	104582	251139
294	104953	250820
295	105300	250443
296	105681	250148
297	106042	249805
298	106423	249508
299	106806	249214
300	107199	248945
301	107650	248808
302	107974	248377
303	108351	248068
304	108756	247823
305	109138	247522
306	109466	247102
307	109828	246756
308	110171	246371
309	110466	245875
310	110825	245526
311	111148	245097
312	111480	244687
313	111812	244278
314	112186	243961
315	112557	243636
316	112905	243263
317	113235	242851
318	113585	242481
319	113908	242054
320	114281	241735
321	114638	241382
322	114980	240997
323	115289	240542
324	115622	240138
325	115936	239697
326	116335	239430
327	116690	239072
328	117082	238790
329	117454	238468
330	117827	238147
331	118160	237744
332	118578	237512
333	118935	237157
334	119350	236919
335	119697	236545
336	120054	236189
337	120406	235825
338	120749	235442
339	121080	235038
340	121418	234647
341	121823	234385
342	122246	234156
343	122628	233850
344	123001	233525
345	123310	233079
346	123692	232769
347	124089	232489
348	124389	232026
349	124711	231607
350	125090	231292
351	125422	230891
352	125673	230341
353	126025	229978
354	126392	229642
355	126744	229278
356	127084	228894
357	127463	228579
358	127804	228196
359	128160	227840
360	128566	227573
361	128919	227211
362	129289	226879
363	129673	226572
364	130017	226195
365	130408	225899
366	130733	225488
367	131105	225159
368	131437	224761
369	131798	224413
370	132223	224174
371	132615	223877
372	132947	223480
373	133326	223161
374	133673	222788
375	134085	222524
376	134512	222284
377	134874	221935
378	135290	221676
379	135741	221472
380	136097	221113
381	136485	220806
382	136898	220538
383	137245	220164
384	137585	219779
385	137994	219503
386	138368	219172
387	138731	218824
388	139127	218526
389	139482	218165
390	139816	217769
391	140137	217356
392	140540	217068
393	140932	216763
394	141339	216481
395	141724	216165
396	142072	215792
397	142443	215454
398	142805	215103
399	143189	214784
400	143541	214417
401	143879	214029
402	144262	213709
403	144649	213393
404	145022	213058
405	145399	212726
406	145757	212368
407	146041	211903
408	146453	211623
409	146833	211297
410	147191	210939
411	147562	210598
412	147936	210263
413	148333	209959
414	148722	209644
415	149112	209331
